COOPID, YEAR, MONTH, DAY, meanTemp
80211,1932,12,30,67.50000
80211,1932,12,31,55.50000
80211,1933,1,1,44.00000
80211,1933,1,2,53.50000
80211,1933,1,3,60.00000
80211,1933,1,4,61.00000
80211,1933,1,5,62.50000
80211,1933,1,6,60.50000
80211,1933,1,7,60.50000
80211,1933,1,8,64.00000
80211,1933,1,9,61.00000
80211,1933,1,10,55.00000
80211,1933,1,11,62.00000
80211,1933,1,12,58.50000
80211,1933,1,13,50.50000
80211,1933,1,14,45.00000
80211,1933,1,15,49.00000
80211,1933,1,16,51.50000
80211,1933,1,17,56.00000
80211,1933,1,18,60.00000
80211,1933,1,19,64.50000
80211,1933,1,20,60.00000
80211,1933,1,21,64.50000
80211,1933,1,22,65.50000
80211,1933,1,23,65.50000
80211,1933,1,24,64.00000
80211,1933,1,25,63.50000
80211,1933,1,26,57.50000
80211,1933,1,27,58.50000
80211,1933,1,28,48.50000
80211,1933,1,29,49.50000
80211,1933,1,30,53.00000
80211,1933,1,31,56.00000
80211,1933,2,1,64.00000
80211,1933,2,2,61.50000
80211,1933,2,3,57.00000
80211,1933,2,4,61.50000
80211,1933,2,5,53.50000
80211,1933,2,6,48.50000
80211,1933,2,7,59.50000
80211,1933,2,8,47.00000
80211,1933,2,9,33.50000
80211,1933,2,10,42.50000
80211,1933,2,11,47.50000
80211,1933,2,12,42.00000
80211,1933,2,13,52.00000
80211,1933,2,14,60.00000
80211,1933,2,15,64.00000
80211,1933,2,16,57.00000
80211,1933,2,17,65.00000
80211,1933,2,18,67.50000
80211,1933,2,19,63.00000
80211,1933,2,20,65.50000
80211,1933,2,21,56.50000
80211,1933,2,22,57.00000
80211,1933,2,23,66.00000
80211,1933,2,24,62.50000
80211,1933,2,25,68.00000
80211,1933,2,26,61.50000
80211,1933,2,27,54.00000
80211,1933,2,28,54.00000
80211,1933,2,29,-99.90000
80211,1933,3,1,57.00000
80211,1933,3,2,55.00000
80211,1933,3,3,53.50000
80211,1933,3,4,50.50000
80211,1933,3,5,50.00000
80211,1933,3,6,59.00000
80211,1933,3,7,57.00000
80211,1933,3,8,54.00000
80211,1933,3,9,56.00000
80211,1933,3,10,61.50000
80211,1933,3,11,54.00000
80211,1933,3,12,61.00000
80211,1933,3,13,65.50000
80211,1933,3,14,68.50000
80211,1933,3,15,71.50000
80211,1933,3,16,65.00000
80211,1933,3,17,65.50000
80211,1933,3,18,70.50000
80211,1933,3,19,71.00000
80211,1933,3,20,67.50000
80211,1933,3,21,52.50000
80211,1933,3,22,58.50000
80211,1933,3,23,62.00000
80211,1933,3,24,62.50000
80211,1933,3,25,61.50000
80211,1933,3,26,64.00000
80211,1933,3,27,61.50000
80211,1933,3,28,64.50000
80211,1933,3,29,64.50000
80211,1933,3,30,67.00000
80211,1933,3,31,69.00000
80211,1933,4,1,70.50000
80211,1933,4,2,70.50000
80211,1933,4,3,71.00000
80211,1933,4,4,60.50000
80211,1933,4,5,67.50000
80211,1933,4,6,70.50000
80211,1933,4,7,62.00000
80211,1933,4,8,62.00000
80211,1933,4,9,66.00000
80211,1933,4,10,69.00000
80211,1933,4,11,68.00000
80211,1933,4,12,65.00000
80211,1933,4,13,64.50000
80211,1933,4,14,64.00000
80211,1933,4,15,62.50000
80211,1933,4,16,65.50000
80211,1933,4,17,65.50000
80211,1933,4,18,66.00000
80211,1933,4,19,67.50000
80211,1933,4,20,70.00000
80211,1933,4,21,68.00000
80211,1933,4,22,65.50000
80211,1933,4,23,69.00000
80211,1933,4,24,71.50000
80211,1933,4,25,74.00000
80211,1933,4,26,73.50000
80211,1933,4,27,70.00000
80211,1933,4,28,71.00000
80211,1933,4,29,70.50000
80211,1933,4,30,73.00000
80211,1933,5,1,71.00000
80211,1933,5,2,70.50000
80211,1933,5,3,75.50000
80211,1933,5,4,76.00000
80211,1933,5,5,76.50000
80211,1933,5,6,79.00000
80211,1933,5,7,78.00000
80211,1933,5,8,80.50000
80211,1933,5,9,80.00000
80211,1933,5,10,81.00000
80211,1933,5,11,80.50000
80211,1933,5,12,80.50000
80211,1933,5,13,78.00000
80211,1933,5,14,78.50000
80211,1933,5,15,78.50000
80211,1933,5,16,78.00000
80211,1933,5,17,80.00000
80211,1933,5,18,76.50000
80211,1933,5,19,76.00000
80211,1933,5,20,76.50000
80211,1933,5,21,78.00000
80211,1933,5,22,79.00000
80211,1933,5,23,79.50000
80211,1933,5,24,79.50000
80211,1933,5,25,79.50000
80211,1933,5,26,79.50000
80211,1933,5,27,80.50000
80211,1933,5,28,80.50000
80211,1933,5,29,80.50000
80211,1933,5,30,77.50000
80211,1933,5,31,77.00000
80211,1933,6,1,78.00000
80211,1933,6,2,73.00000
80211,1933,6,3,76.00000
80211,1933,6,4,80.50000
80211,1933,6,5,82.00000
80211,1933,6,6,82.50000
80211,1933,6,7,83.00000
80211,1933,6,8,79.50000
80211,1933,6,9,80.00000
80211,1933,6,10,80.50000
80211,1933,6,11,81.00000
80211,1933,6,12,81.50000
80211,1933,6,13,84.50000
80211,1933,6,14,76.00000
80211,1933,6,15,73.00000
80211,1933,6,16,72.00000
80211,1933,6,17,74.00000
80211,1933,6,18,79.00000
80211,1933,6,19,84.00000
80211,1933,6,20,84.50000
80211,1933,6,21,82.00000
80211,1933,6,22,75.00000
80211,1933,6,23,78.50000
80211,1933,6,24,82.50000
80211,1933,6,25,82.00000
80211,1933,6,26,82.00000
80211,1933,6,27,82.50000
80211,1933,6,28,83.50000
80211,1933,6,29,83.00000
80211,1933,6,30,83.00000
80211,1933,7,1,83.00000
80211,1933,7,2,82.50000
80211,1933,7,3,83.00000
80211,1933,7,4,80.00000
